epoch,loss
0,0.0952
1,0.0727
2,0.0628
3,0.0579
4,0.0551
5,0.0534
6,0.0522
7,0.0514
8,0.0507
9,0.0503
10,0.0498
11,0.0495
12,0.0491
13,0.0489
14,0.0486
15,0.0484
16,0.0482
17,0.0481
18,0.0479
19,0.0477
20,0.0476
21,0.0474
22,0.0473
23,0.0472
24,0.0471
25,0.0469
26,0.0468
27,0.0467
28,0.0466
29,0.0465
30,0.0464
31,0.0464
32,0.0463
33,0.0462
34,0.0461
35,0.0461
36,0.046
37,0.0459
38,0.0458
39,0.0458
40,0.0457
41,0.0456
42,0.0456
43,0.0455
44,0.0455
45,0.0454
46,0.0454
47,0.0453
48,0.0453
49,0.0452
50,0.0452
51,0.0451
52,0.0451
53,0.045
54,0.045
55,0.0449
56,0.0449
57,0.0449
58,0.0448
59,0.0448
60,0.0447
61,0.0447
62,0.0447
63,0.0446
64,0.0446
65,0.0446
66,0.0445
67,0.0445
68,0.0445
69,0.0444
70,0.0444
71,0.0444
72,0.0443
73,0.0443
74,0.0443
75,0.0442
76,0.0442
77,0.0442
78,0.0442
79,0.0441
80,0.0441
81,0.044
82,0.044
83,0.044
84,0.0439
85,0.0439
86,0.0439
87,0.0439
88,0.0438
89,0.0438
90,0.0438
91,0.0437
92,0.0437
93,0.0437
94,0.0437
95,0.0437
96,0.0437
97,0.0436
98,0.0436
99,0.0436
100,0.0436
101,0.0435
102,0.0435
103,0.0435
104,0.0435
105,0.0434
106,0.0434
107,0.0434
108,0.0434
109,0.0434
110,0.0433
111,0.0434
112,0.0433
113,0.0433
114,0.0433
115,0.0432
116,0.0432
117,0.0432
118,0.0432
119,0.0432
120,0.0431
121,0.0431
122,0.0431
123,0.0431
124,0.0431
125,0.0431
126,0.0431
127,0.043
128,0.043
129,0.043
130,0.043
131,0.043
132,0.043
133,0.043
134,0.043
135,0.043
136,0.0429
137,0.0429
138,0.0429
139,0.0429
140,0.0429
141,0.0428
142,0.0428
143,0.0428
144,0.0428
145,0.0428
146,0.0428
147,0.0427
148,0.0427
149,0.0427
150,0.0427
151,0.0427
152,0.0427
153,0.0427
154,0.0427
155,0.0427
156,0.0426
157,0.0426
158,0.0426
159,0.0426
160,0.0426
161,0.0426
162,0.0426
163,0.0426
164,0.0426
165,0.0425
166,0.0425
167,0.0425
168,0.0425
169,0.0425
170,0.0425
171,0.0424
172,0.0424
173,0.0424
174,0.0424
175,0.0424
176,0.0424
177,0.0424
178,0.0424
179,0.0423
180,0.0423
181,0.0423
182,0.0423
183,0.0423
184,0.0423
185,0.0423
186,0.0423
187,0.0422
188,0.0422
189,0.0422
190,0.0422
191,0.0422
192,0.0422
193,0.0422
194,0.0422
195,0.0422
196,0.0422
197,0.0421
198,0.0421
199,0.0421
